題號,題目(英),選項(英),正確答案,答案備註,解析(中),題目(中),選項(中)
524,"A company wants to analyze and troubleshoot Access Denied errors and Unauthorized errors that are related to IAM permissions. The
company has AWS CloudTrail turned on.
Which solution will meet these requirements with the LEAST effort?","A. Use AWS Glue and write custom scripts to query CloudTrail logs for the errors.
B. Use AWS Batch and write custom scripts to query CloudTrail logs for the errors.
C. Search CloudTrail logs with Amazon Athena queries to identify the errors.
D. Search CloudTrail logs with Amazon QuickSight. Create a dashboard to identify the errors.",C,C (68% community votes),,,
525,"A company wants to add its existing AWS usage cost to its operation cost dashboard. A solutions architect needs to recommend a solution
that will give the company access to its usage cost programmatically. The company must be able to access cost data for the current year and
forecast costs for the next 12 months.
Which solution will meet these requirements with the LEAST operational overhead?","A. Access usage cost-related data by using the AWS Cost Explorer API with pagination.
B. Access usage cost-related data by using downloadable AWS Cost Explorer report .csv les.
C. Congure AWS Budgets actions to send usage cost data to the company through FTP.
D. Create AWS Budgets reports for usage cost data. Send the data to the company through SMTP.",A,A (100% community votes),,,
526,"A solutions architect is reviewing the resilience of an application. The solutions architect notices that a database administrator recently failed
over the application's Amazon Aurora PostgreSQL database writer instance as part of a scaling exercise. The failover resulted in 3 minutes of
downtime for the application.
Which solution will reduce the downtime for scaling exercises with the LEAST operational overhead?","A. Create more Aurora PostgreSQL read replicas in the cluster to handle the load during failover.
B. Set up a secondary Aurora PostgreSQL cluster in the same AWS Region. During failover, update the application to use the secondary
cluster's writer endpoint.
C. Create an Amazon ElastiCache for Memcached cluster to handle the load during failover.
D. Set up an Amazon RDS proxy for the database. Update the application to use the proxy endpoint.",D,D (72% community votes),,,
527,"A company has a regional subscription-based streaming service that runs in a single AWS Region. The architecture consists of web servers
and application servers on Amazon EC2 instances. The EC2 instances are in Auto Scaling groups behind Elastic Load Balancers. The
architecture includes an Amazon Aurora global database cluster that extends across multiple Availability Zones.
The company wants to expand globally and to ensure that its application has minimal downtime.
Which solution will provide the MOST fault tolerance?","A. Extend the Auto Scaling groups for the web tier and the application tier to deploy instances in Availability Zones in a second Region.
Use an Aurora global database to deploy the database in the primary Region and the second Region. Use Amazon Route 53 health checks
with a failover routing policy to the second Region.
B. Deploy the web tier and the application tier to a second Region. Add an Aurora PostgreSQL cross-Region Aurora Replica in the second
Region. Use Amazon Route 53 health checks with a failover routing policy to the second Region. Promote the secondary to primary as
needed.
C. Deploy the web tier and the application tier to a second Region. Create an Aurora PostgreSQL database in the second Region. Use AWS
Database Migration Service (AWS DMS) to replicate the primary database to the second Region. Use Amazon Route 53 health checks with
a failover routing policy to the second Region.
D. Deploy the web tier and the application tier to a second Region. Use an Amazon Aurora global database to deploy the database in the
primary Region and the second Region. Use Amazon Route 53 health checks with a failover routing policy to the second Region. Promote
the secondary to primary as needed.",D,D (94% community votes),,,
528,"A data analytics company wants to migrate its batch processing system to AWS. The company receives thousands of small data les
periodically during the day through FTP. An on-premises batch job processes the data les overnight. However, the batch job takes hours to
nish running.
The company wants the AWS solution to process incoming data les as soon as possible with minimal changes to the FTP clients that send
the les. The solution must delete the incoming data les after the les have been processed successfully. Processing for each le needs to
take 3-8 minutes.
Which solution will meet these requirements in the MOST operationally ecient way?","A. Use an Amazon EC2 instance that runs an FTP server to store incoming les as objects in Amazon S3 Glacier Flexible Retrieval.
Congure a job queue in AWS Batch. Use Amazon EventBridge rules to invoke the job to process the objects nightly from S3 Glacier
Flexible Retrieval. Delete the objects after the job has processed the objects.
B. Use an Amazon EC2 instance that runs an FTP server to store incoming les on an Amazon Elastic Block Store (Amazon EBS) volume.
Congure a job queue in AWS Batch. Use Amazon EventBridge rules to invoke the job to process the les nightly from the EBS volume.
Delete the les after the job has processed the les.
C. Use AWS Transfer Family to create an FTP server to store incoming les on an Amazon Elastic Block Store (Amazon EBS) volume.
Congure a job queue in AWS Batch. Use an Amazon S3 event notication when each le arrives to invoke the job in AWS Batch. Delete
the les after the job has processed the les.
D. Use AWS Transfer Family to create an FTP server to store incoming les in Amazon S3 Standard. Create an AWS Lambda function to
process the les and to delete the les after they are processed. Use an S3 event notication to invoke the Lambda function when the
les arrive.",D,D (93% community votes),,,
529,"A company is migrating its workloads to AWS. The company has transactional and sensitive data in its databases. The company wants to use
AWS Cloud solutions to increase security and reduce operational overhead for the databases.
Which solution will meet these requirements?","A. Migrate the databases to Amazon EC2. Use an AWS Key Management Service (AWS KMS) AWS managed key for encryption.
B. Migrate the databases to Amazon RDS Congure encryption at rest.
C. Migrate the data to Amazon S3 Use Amazon Macie for data security and protection
D. Migrate the database to Amazon RDS. Use Amazon CloudWatch Logs for data security and protection.",B,B (100% community votes),,,
530,"A company has an online gaming application that has TCP and UDP multiplayer gaming capabilities. The company uses Amazon Route 53 to
point the application trac to multiple Network Load Balancers (NLBs) in different AWS Regions. The company needs to improve application
performance and decrease latency for the online game in preparation for user growth.
Which solution will meet these requirements?","A. Add an Amazon CloudFront distribution in front of the NLBs. Increase the Cache-Control max-age parameter.
B. Replace the NLBs with Application Load Balancers (ALBs). Congure Route 53 to use latency-based routing.
C. Add AWS Global Accelerator in front of the NLBs. Congure a Global Accelerator endpoint to use the correct listener ports.
D. Add an Amazon API Gateway endpoint behind the NLBs. Enable API caching. Override method caching for the different stages.",C,C (100% community votes),,,
531,"A company needs to integrate with a third-party data feed. The data feed sends a webhook to notify an external service when new data is
ready for consumption. A developer wrote an AWS Lambda function to retrieve data when the company receives a webhook callback. The
developer must make the Lambda function available for the third party to call.
Which solution will meet these requirements with the MOST operational eciency?","A. Create a function URL for the Lambda function. Provide the Lambda function URL to the third party for the webhook.
B. Deploy an Application Load Balancer (ALB) in front of the Lambda function. Provide the ALB URL to the third party for the webhook.
C. Create an Amazon Simple Notication Service (Amazon SNS) topic. Attach the topic to the Lambda function. Provide the public
hostname of the SNS topic to the third party for the webhook.
D. Create an Amazon Simple Queue Service (Amazon SQS) queue. Attach the queue to the Lambda function. Provide the public hostname
of the SQS queue to the third party for the webhook.",A,A (100% community votes),,,
532,"A company has a workload in an AWS Region. Customers connect to and access the workload by using an Amazon API Gateway REST API. The
company uses Amazon Route 53 as its DNS provider. The company wants to provide individual and secure URLs for all customers.
Which combination of steps will meet these requirements with the MOST operational eciency? (Choose three.)","A. Register the required domain in a registrar. Create a wildcard custom domain name in a Route 53 hosted zone and record in the zone
that points to the API Gateway endpoint.
B. Request a wildcard certicate that matches the domains in AWS Certicate Manager (ACM) in a different Region.
C. Create hosted zones for each customer as required in Route 53. Create zone records that point to the API Gateway endpoint.
D. Request a wildcard certicate that matches the custom domain name in AWS Certicate Manager (ACM) in the same Region.
E. Create multiple API endpoints for each customer in API Gateway.
F. Create a custom domain name in API Gateway for the REST API. Import the certicate from AWS Certicate Manager (ACM).",C,C (PDF answer),,,
533,"A company stores data in Amazon S3. According to regulations, the data must not contain personally identiable information (PII). The
company recently discovered that S3 buckets have some objects that contain PII. The company needs to automatically detect PII in S3
buckets and to notify the company’s security team.
Which solution will meet these requirements?","A. Use Amazon Macie. Create an Amazon EventBridge rule to lter the SensitiveData event type from Macie ndings and to send an
Amazon Simple Notication Service (Amazon SNS) notication to the security team.
B. Use Amazon GuardDuty. Create an Amazon EventBridge rule to lter the CRITICAL event type from GuardDuty ndings and to send an
Amazon Simple Notication Service (Amazon SNS) notication to the security team.
C. Use Amazon Macie. Create an Amazon EventBridge rule to lter the SensitiveData:S3Object/Personal event type from Macie ndings
and to send an Amazon Simple Queue Service (Amazon SQS) notication to the security team.
D. Use Amazon GuardDuty. Create an Amazon EventBridge rule to lter the CRITICAL event type from GuardDuty ndings and to send an
Amazon Simple Queue Service (Amazon SQS) notication to the security team.",A,A (83% community votes),,,
534,"A company wants to build a logging solution for its multiple AWS accounts. The company currently stores the logs from all accounts in a
centralized account. The company has created an Amazon S3 bucket in the centralized account to store the VPC ow logs and AWS CloudTrail
logs. All logs must be highly available for 30 days for frequent analysis, retained for an additional 60 days for backup purposes, and deleted
90 days after creation.
Which solution will meet these requirements MOST cost-effectively?","A. Transition objects to the S3 Standard storage class 30 days after creation. Write an expiration action that directs Amazon S3 to delete
objects after 90 days.
B. Transition objects to the S3 Standard-Infrequent Access (S3 Standard-IA) storage class 30 days after creation. Move all objects to the
S3 Glacier Flexible Retrieval storage class after 90 days. Write an expiration action that directs Amazon S3 to delete objects after 90 days.
C. Transition objects to the S3 Glacier Flexible Retrieval storage class 30 days after creation. Write an expiration action that directs
Amazon S3 to delete objects after 90 days.
D. Transition objects to the S3 One Zone-Infrequent Access (S3 One Zone-IA) storage class 30 days after creation. Move all objects to the
S3 Glacier Flexible Retrieval storage class after 90 days. Write an expiration action that directs Amazon S3 to delete objects after 90 days.",C,C (62% community votes),,,
535,"A company is building an Amazon Elastic Kubernetes Service (Amazon EKS) cluster for its workloads. All secrets that are stored in Amazon
EKS must be encrypted in the Kubernetes etcd key-value store.
Which solution will meet these requirements?","A. Create a new AWS Key Management Service (AWS KMS) key. Use AWS Secrets Manager to manage, rotate, and store all secrets in
Amazon EKS.
B. Create a new AWS Key Management Service (AWS KMS) key. Enable Amazon EKS KMS secrets encryption on the Amazon EKS cluster.
C. Create the Amazon EKS cluster with default options. Use the Amazon Elastic Block Store (Amazon EBS) Container Storage Interface
(CSI) driver as an add-on.
D. Create a new AWS Key Management Service (AWS KMS) key with the alias/aws/ebs alias. Enable default Amazon Elastic Block Store
(Amazon EBS) volume encryption for the account.",B,B (95% community votes),,,
536,"A company wants to provide data scientists with near real-time read-only access to the company's production Amazon RDS for PostgreSQL
database. The database is currently congured as a Single-AZ database. The data scientists use complex queries that will not affect the
production database. The company needs a solution that is highly available.
Which solution will meet these requirements MOST cost-effectively?","A. Scale the existing production database in a maintenance window to provide enough power for the data scientists.
B. Change the setup from a Single-AZ to a Multi-AZ instance deployment with a larger secondary standby instance. Provide the data
scientists access to the secondary instance.
C. Change the setup from a Single-AZ to a Multi-AZ instance deployment. Provide two additional read replicas for the data scientists.
D. Change the setup from a Single-AZ to a Multi-AZ cluster deployment with two readable standby instances. Provide read endpoints to
the data scientists.",D,D (82% community votes),,,
537,"A company runs a three-tier web application in the AWS Cloud that operates across three Availability Zones. The application architecture has
an Application Load Balancer, an Amazon EC2 web server that hosts user session states, and a MySQL database that runs on an EC2 instance.
The company expects sudden increases in application trac. The company wants to be able to scale to meet future application capacity
demands and to ensure high availability across all three Availability Zones.
Which solution will meet these requirements?","A. Migrate the MySQL database to Amazon RDS for MySQL with a Multi-AZ DB cluster deployment. Use Amazon ElastiCache for Redis with
high availability to store session data and to cache reads. Migrate the web server to an Auto Scaling group that is in three Availability
Zones.
B. Migrate the MySQL database to Amazon RDS for MySQL with a Multi-AZ DB cluster deployment. Use Amazon ElastiCache for
Memcached with high availability to store session data and to cache reads. Migrate the web server to an Auto Scaling group that is in
three Availability Zones.
C. Migrate the MySQL database to Amazon DynamoDB Use DynamoDB Accelerator (DAX) to cache reads. Store the session data in
DynamoDB. Migrate the web server to an Auto Scaling group that is in three Availability Zones.
D. Migrate the MySQL database to Amazon RDS for MySQL in a single Availability Zone. Use Amazon ElastiCache for Redis with high
availability to store session data and to cache reads. Migrate the web server to an Auto Scaling group that is in three Availability Zones.",A,A (79% community votes),,,
538,"A global video streaming company uses Amazon CloudFront as a content distribution network (CDN). The company wants to roll out content in
a phased manner across multiple countries. The company needs to ensure that viewers who are outside the countries to which the company
rolls out content are not able to view the content.
Which solution will meet these requirements?","A. Add geographic restrictions to the content in CloudFront by using an allow list. Set up a custom error message.
B. Set up a new URL tor restricted content. Authorize access by using a signed URL and cookies. Set up a custom error message.
C. Encrypt the data for the content that the company distributes. Set up a custom error message.
D. Create a new URL for restricted content. Set up a time-restricted access policy for signed URLs.",A,A (100% community votes),,,
539,"A company wants to use the AWS Cloud to improve its on-premises disaster recovery (DR) conguration. The company's core production
business application uses Microsoft SQL Server Standard, which runs on a virtual machine (VM). The application has a recovery point
objective (RPO) of 30 seconds or fewer and a recovery time objective (RTO) of 60 minutes. The DR solution needs to minimize costs wherever
possible.
Which solution will meet these requirements?","A. Congure a multi-site active/active setup between the on-premises server and AWS by using Microsoft SQL Server Enterprise with
Always On availability groups.
B. Congure a warm standby Amazon RDS for SQL Server database on AWS. Congure AWS Database Migration Service (AWS DMS) to use
change data capture (CDC).
C. Use AWS Elastic Disaster Recovery congured to replicate disk changes to AWS as a pilot light.
D. Use third-party backup software to capture backups every night. Store a secondary set of backups in Amazon S3.",B,B (58% community votes),,,
540,"A company has an on-premises server that uses an Oracle database to process and store customer information. The company wants to use an
AWS database service to achieve higher availability and to improve application performance. The company also wants to ooad reporting
from its primary database system.
Which solution will meet these requirements in the MOST operationally ecient way?","A. Use AWS Database Migration Service (AWS DMS) to create an Amazon RDS DB instance in multiple AWS Regions. Point the reporting
functions toward a separate DB instance from the primary DB instance.
B. Use Amazon RDS in a Single-AZ deployment to create an Oracle database. Create a read replica in the same zone as the primary DB
instance. Direct the reporting functions to the read replica.
C. Use Amazon RDS deployed in a Multi-AZ cluster deployment to create an Oracle database. Direct the reporting functions to use the
reader instance in the cluster deployment.
D. Use Amazon RDS deployed in a Multi-AZ instance deployment to create an Amazon Aurora database. Direct the reporting functions to
the reader instances.",D,D (67% community votes),,,
541,"A company wants to build a web application on AWS. Client access requests to the website are not predictable and can be idle for a long time.
Only customers who have paid a subscription fee can have the ability to sign in and use the web application.
Which combination of steps will meet these requirements MOST cost-effectively? (Choose three.)","A. Create an AWS Lambda function to retrieve user information from Amazon DynamoDB. Create an Amazon API Gateway endpoint to
accept RESTful APIs. Send the API calls to the Lambda function.
B. Create an Amazon Elastic Container Service (Amazon ECS) service behind an Application Load Balancer to retrieve user information
from Amazon RDS. Create an Amazon API Gateway endpoint to accept RESTful APIs. Send the API calls to the Lambda function.
C. Create an Amazon Cognito user pool to authenticate users.
D. Create an Amazon Cognito identity pool to authenticate users.
E. Use AWS Amplify to serve the frontend web content with HTML, CSS, and JS. Use an integrated Amazon CloudFront conguration.
F. Use Amazon S3 static web hosting with PHP, CSS, and JS. Use Amazon CloudFront to serve the frontend web content.",ACE,ACE (PDF answer),,,
542,"A media company uses an Amazon CloudFront distribution to deliver content over the internet. The company wants only premium customers
to have access to the media streams and le content. The company stores all content in an Amazon S3 bucket. The company also delivers
content on demand to customers for a specic purpose, such as movie rentals or music downloads.
Which solution will meet these requirements?","A. Generate and provide S3 signed cookies to premium customers.
B. Generate and provide CloudFront signed URLs to premium customers.
C. Use origin access control (OAC) to limit the access of non-premium customers.
D. Generate and activate eld-level encryption to block non-premium customers.",B,B (100% community votes),,,
543,"A company runs Amazon EC2 instances in multiple AWS accounts that are individually bled. The company recently purchased a Savings Pian.
Because of changes in the company’s business requirements, the company has decommissioned a large number of EC2 instances. The
company wants to use its Savings Plan discounts on its other AWS accounts.
Which combination of steps will meet these requirements? (Choose two.)","A. From the AWS Account Management Console of the management account, turn on discount sharing from the billing preferences
section.
B. From the AWS Account Management Console of the account that purchased the existing Savings Plan, turn on discount sharing from
the billing preferences section. Include all accounts.
C. From the AWS Organizations management account, use AWS Resource Access Manager (AWS RAM) to share the Savings Plan with other
accounts.
D. Create an organization in AWS Organizations in a new payer account. Invite the other AWS accounts to join the organization from the
management account.
E. Create an organization in AWS Organizations in the existing AWS account with the existing EC2 instances and Savings Plan. Invite the
other AWS accounts to join the organization from the management account.",AE,AE (PDF answer),,,
544,"A retail company uses a regional Amazon API Gateway API for its public REST APIs. The API Gateway endpoint is a custom domain name that
points to an Amazon Route 53 alias record. A solutions architect needs to create a solution that has minimal effects on customers and
minimal data loss to release the new version of APIs.
Which solution will meet these requirements?","A. Create a canary release deployment stage for API Gateway. Deploy the latest API version. Point an appropriate percentage of trac to
the canary stage. After API verication, promote the canary stage to the production stage.
B. Create a new API Gateway endpoint with a new version of the API in OpenAPI YAML le format. Use the import-to-update operation in
merge mode into the API in API Gateway. Deploy the new version of the API to the production stage.
C. Create a new API Gateway endpoint with a new version of the API in OpenAPI JSON le format. Use the import-to-update operation in
overwrite mode into the API in API Gateway. Deploy the new version of the API to the production stage.
D. Create a new API Gateway endpoint with new versions of the API denitions. Create a custom domain name for the new API Gateway
API. Point the Route 53 alias record to the new API Gateway API custom domain name.",A,A (100% community votes),,,
545,"A company wants to direct its users to a backup static error page if the company's primary website is unavailable. The primary website's DNS
records are hosted in Amazon Route 53. The domain is pointing to an Application Load Balancer (ALB). The company needs a solution that
minimizes changes and infrastructure overhead.
Which solution will meet these requirements?","A. Update the Route 53 records to use a latency routing policy. Add a static error page that is hosted in an Amazon S3 bucket to the
records so that the trac is sent to the most responsive endpoints.
B. Set up a Route 53 active-passive failover conguration. Direct trac to a static error page that is hosted in an Amazon S3 bucket when
Route 53 health checks determine that the ALB endpoint is unhealthy.
C. Set up a Route 53 active-active conguration with the ALB and an Amazon EC2 instance that hosts a static error page as endpoints.
Congure Route 53 to send requests to the instance only if the health checks fail for the ALB.
D. Update the Route 53 records to use a multivalue answer routing policy. Create a health check. Direct trac to the website if the health
check passes. Direct trac to a static error page that is hosted in Amazon S3 if the health check does not pass.",B,B (86% community votes),,,
546,"A recent analysis of a company's IT expenses highlights the need to reduce backup costs. The company's chief information ocer wants to
simplify the on-premises backup infrastructure and reduce costs by eliminating the use of physical backup tapes. The company must preserve
the existing investment in the on-premises backup applications and workows.
What should a solutions architect recommend?","A. Set up AWS Storage Gateway to connect with the backup applications using the NFS interface.
B. Set up an Amazon EFS le system that connects with the backup applications using the NFS interface.
C. Set up an Amazon EFS le system that connects with the backup applications using the iSCSI interface.
D. Set up AWS Storage Gateway to connect with the backup applications using the iSCSI-virtual tape library (VTL) interface.",D,D (100% community votes),,,
547,"A company has data collection sensors at different locations. The data collection sensors stream a high volume of data to the company. The
company wants to design a platform on AWS to ingest and process high-volume streaming data. The solution must be scalable and support
data collection in near real time. The company must store the data in Amazon S3 for future reporting.
Which solution will meet these requirements with the LEAST operational overhead?","A. Use Amazon Kinesis Data Firehose to deliver streaming data to Amazon S3.
B. Use AWS Glue to deliver streaming data to Amazon S3.
C. Use AWS Lambda to deliver streaming data and store the data to Amazon S3.
D. Use AWS Database Migration Service (AWS DMS) to deliver streaming data to Amazon S3.",A,A (84% community votes),,,
548,"A company has separate AWS accounts for its nance, data analytics, and development departments. Because of costs and security concerns,
the company wants to control which services each AWS account can use.
Which solution will meet these requirements with the LEAST operational overhead?","A. Use AWS Systems Manager templates to control which AWS services each department can use.
B. Create organization units (OUs) for each department in AWS Organizations. Attach service control policies (SCPs) to the OUs.
C. Use AWS CloudFormation to automatically provision only the AWS services that each department can use.
D. Set up a list of products in AWS Service Catalog in the AWS accounts to manage and control the usage of specic AWS services.",B,B (89% community votes),,,
549,"A company has created a multi-tier application for its ecommerce website. The website uses an Application Load Balancer that resides in the
public subnets, a web tier in the public subnets, and a MySQL cluster hosted on Amazon EC2 instances in the private subnets. The MySQL
database needs to retrieve product catalog and pricing information that is hosted on the internet by a third-party provider. A solutions
architect must devise a strategy that maximizes security without increasing operational overhead.
What should the solutions architect do to meet these requirements?","A. Deploy a NAT instance in the VPC. Route all the internet-based trac through the NAT instance.
B. Deploy a NAT gateway in the public subnets. Modify the private subnet route table to direct all internet-bound trac to the NAT
gateway.
C. Congure an internet gateway and attach it to the VPModify the private subnet route table to direct internet-bound trac to the
internet gateway.
D. Congure a virtual private gateway and attach it to the VPC. Modify the private subnet route table to direct internet-bound trac to the
virtual private gateway.",B,B (100% community votes),,,
550,"A company is using AWS Key Management Service (AWS KMS) keys to encrypt AWS Lambda environment variables. A solutions architect
needs to ensure that the required permissions are in place to decrypt and use the environment variables.
Which steps must the solutions architect take to implement the correct permissions? (Choose two.)","A. Add AWS KMS permissions in the Lambda resource policy.
B. Add AWS KMS permissions in the Lambda execution role.
C. Add AWS KMS permissions in the Lambda function policy.
D. Allow the Lambda execution role in the AWS KMS key policy.
E. Allow the Lambda resource policy in the AWS KMS key policy.",BD,BD (PDF answer),,,
551,"A company has a nancial application that produces reports. The reports average 50 KB in size and are stored in Amazon S3. The reports are
frequently accessed during the rst week after production and must be stored for several years. The reports must be retrievable within 6
hours.
Which solution meets these requirements MOST cost-effectively?","A. Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3 Glacier after 7 days.
B. Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3 Standard-Infrequent Access (S3 Standard-IA) after 7 days.
C. Use S3 Intelligent-Tiering. Congure S3 Intelligent-Tiering to transition the reports to S3 Standard-Infrequent Access (S3 Standard-IA)
and S3 Glacier.
D. Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3 Glacier Deep Archive after 7 days.",A,A (65% community votes),,,
552,"A company needs to optimize the cost of its Amazon EC2 instances. The company also needs to change the type and family of its EC2
instances every 2-3 months.
What should the company do to meet these requirements?","A. Purchase Partial Upfront Reserved Instances for a 3-year term.
B. Purchase a No Upfront Compute Savings Plan for a 1-year term.
C. Purchase All Upfront Reserved Instances for a 1-year term.
D. Purchase an All Upfront EC2 Instance Savings Plan for a 1-year term.",B,B (100% community votes),,,
553,"A solutions architect needs to review a company's Amazon S3 buckets to discover personally identiable information (PII). The company
stores the PII data in the us-east-1 Region and us-west-2 Region.
Which solution will meet these requirements with the LEAST operational overhead?","A. Congure Amazon Macie in each Region. Create a job to analyze the data that is in Amazon S3.
B. Congure AWS Security Hub for all Regions. Create an AWS Cong rule to analyze the data that is in Amazon S3.
C. Congure Amazon Inspector to analyze the data that is in Amazon S3.
D. Congure Amazon GuardDuty to analyze the data that is in Amazon S3.",A,A (100% community votes),,,
554,"A company's SAP application has a backend SQL Server database in an on-premises environment. The company wants to migrate its on-
premises application and database server to AWS. The company needs an instance type that meets the high demands of its SAP database.
On-premises performance data shows that both the SAP application and the database have high memory utilization.
Which solution will meet these requirements?","A. Use the compute optimized instance family for the application. Use the memory optimized instance family for the database.
B. Use the storage optimized instance family for both the application and the database.
C. Use the memory optimized instance family for both the application and the database.
D. Use the high performance computing (HPC) optimized instance family for the application. Use the memory optimized instance family
for the database.",C,C (100% community votes),,,
555,"A company runs an application in a VPC with public and private subnets. The VPC extends across multiple Availability Zones. The application
runs on Amazon EC2 instances in private subnets. The application uses an Amazon Simple Queue Service (Amazon SQS) queue.
A solutions architect needs to design a secure solution to establish a connection between the EC2 instances and the SQS queue.
Which solution will meet these requirements?","A. Implement an interface VPC endpoint for Amazon SQS. Congure the endpoint to use the private subnets. Add to the endpoint a
security group that has an inbound access rule that allows trac from the EC2 instances that are in the private subnets.
B. Implement an interface VPC endpoint for Amazon SQS. Congure the endpoint to use the public subnets. Attach to the interface
endpoint a VPC endpoint policy that allows access from the EC2 instances that are in the private subnets.
C. Implement an interface VPC endpoint for Amazon SQS. Congure the endpoint to use the public subnets. Attach an Amazon SQS access
policy to the interface VPC endpoint that allows requests from only a specied VPC endpoint.
D. Implement a gateway endpoint for Amazon SQS. Add a NAT gateway to the private subnets. Attach an IAM role to the EC2 instances
that allows access to the SQS queue.",A,A (100% community votes),,,
556,"A solutions architect is using an AWS CloudFormation template to deploy a three-tier web application. The web application consists of a web
tier and an application tier that stores and retrieves user data in Amazon DynamoDB tables. The web and application tiers are hosted on
Amazon EC2 instances, and the database tier is not publicly accessible. The application EC2 instances need to access the DynamoDB tables
without exposing API credentials in the template.
What should the solutions architect do to meet these requirements?","A. Create an IAM role to read the DynamoDB tables. Associate the role with the application instances by referencing an instance prole.
B. Create an IAM role that has the required permissions to read and write from the DynamoDB tables. Add the role to the EC2 instance
prole, and associate the instance prole with the application instances.
C. Use the parameter section in the AWS CloudFormation template to have the user input access and secret keys from an already-created
IAM user that has the required permissions to read and write from the DynamoDB tables.
D. Create an IAM user in the AWS CloudFormation template that has the required permissions to read and write from the DynamoDB
tables. Use the GetAtt function to retrieve the access and secret keys, and pass them to the application instances through the user data.",B,B (87% community votes),,,
557,"A solutions architect manages an analytics application. The application stores large amounts of semistructured data in an Amazon S3 bucket.
The solutions architect wants to use parallel data processing to process the data more quickly. The solutions architect also wants to use
information that is stored in an Amazon Redshift database to enrich the data.
Which solution will meet these requirements?","A. Use Amazon Athena to process the S3 data. Use AWS Glue with the Amazon Redshift data to enrich the S3 data.
B. Use Amazon EMR to process the S3 data. Use Amazon EMR with the Amazon Redshift data to enrich the S3 data.
C. Use Amazon EMR to process the S3 data. Use Amazon Kinesis Data Streams to move the S3 data into Amazon Redshift so that the data
can be enriched.
D. Use AWS Glue to process the S3 data. Use AWS Lake Formation with the Amazon Redshift data to enrich the S3 data.",B,B (71% community votes),,,
558,"A company has two VPCs that are located in the us-west-2 Region within the same AWS account. The company needs to allow network trac
between these VPCs. Approximately 500 GB of data transfer will occur between the VPCs each month.
What is the MOST cost-effective solution to connect these VPCs?","A. Implement AWS Transit Gateway to connect the VPCs. Update the route tables of each VPC to use the transit gateway for inter-VPC
communication.
B. Implement an AWS Site-to-Site VPN tunnel between the VPCs. Update the route tables of each VPC to use the VPN tunnel for inter-VPC
communication.
C. Set up a VPC peering connection between the VPCs. Update the route tables of each VPC to use the VPC peering connection for inter-
VPC communication.
D. Set up a 1 GB AWS Direct Connect connection between the VPCs. Update the route tables of each VPC to use the Direct Connect
connection for inter-VPC communication.",C,C (100% community votes),,,
559,"A company hosts multiple applications on AWS for different product lines. The applications use different compute resources, including
Amazon EC2 instances and Application Load Balancers. The applications run in different AWS accounts under the same organization in AWS
Organizations across multiple AWS Regions. Teams for each product line have tagged each compute resource in the individual accounts.
The company wants more details about the cost for each product line from the consolidated billing feature in Organizations.
Which combination of steps will meet these requirements? (Choose two.)","A. Select a specic AWS generated tag in the AWS Billing console.
B. Select a specic user-dened tag in the AWS Billing console.
C. Select a specic user-dened tag in the AWS Resource Groups console.
D. Activate the selected tag from each AWS account.
E. Activate the selected tag from the Organizations management account.",BE,BE (PDF answer),,,
560,"A company's solutions architect is designing an AWS multi-account solution that uses AWS Organizations. The solutions architect has
organized the company's accounts into organizational units (OUs).
The solutions architect needs a solution that will identify any changes to the OU hierarchy. The solution also needs to notify the company's
operations team of any changes.
Which solution will meet these requirements with the LEAST operational overhead?","A. Provision the AWS accounts by using AWS Control Tower. Use account drift notications to identify the changes to the OU hierarchy.
B. Provision the AWS accounts by using AWS Control Tower. Use AWS Cong aggregated rules to identify the changes to the OU hierarchy.
C. Use AWS Service Catalog to create accounts in Organizations. Use an AWS CloudTrail organization trail to identify the changes to the
OU hierarchy.
D. Use AWS CloudFormation templates to create accounts in Organizations. Use the drift detection operation on a stack to identify the
changes to the OU hierarchy.",A,A (79% community votes),,,
561,"A company's website handles millions of requests each day, and the number of requests continues to increase. A solutions architect needs to
improve the response time of the web application. The solutions architect determines that the application needs to decrease latency when
retrieving product details from the Amazon DynamoDB table.
Which solution will meet these requirements with the LEAST amount of operational overhead?","A. Set up a DynamoDB Accelerator (DAX) cluster. Route all read requests through DAX.
B. Set up Amazon ElastiCache for Redis between the DynamoDB table and the web application. Route all read requests through Redis.
C. Set up Amazon ElastiCache for Memcached between the DynamoDB table and the web application. Route all read requests through
Memcached.
D. Set up Amazon DynamoDB Streams on the table, and have AWS Lambda read from the table and populate Amazon ElastiCache. Route
all read requests through ElastiCache.",A,A (100% community votes),,,
562,"A solutions architect needs to ensure that API calls to Amazon DynamoDB from Amazon EC2 instances in a VPC do not travel across the
internet.
Which combination of steps should the solutions architect take to meet this requirement? (Choose two.)","A. Create a route table entry for the endpoint.
B. Create a gateway endpoint for DynamoDB.
C. Create an interface endpoint for Amazon EC2.
D. Create an elastic network interface for the endpoint in each of the subnets of the VPC.
E. Create a security group entry in the endpoint's security group to provide access.",AB,AB (PDF answer),,,
